[2024-05-07 18:11:22,303] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2024-05-07 18:16:36,966] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2024-05-07 18:16:36,980] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2024-05-07 18:16:36,981] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2024-05-07 18:16:37,082] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2024-05-07 18:16:37,091] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 52 partitions (state.change.logger)
[2024-05-07 18:16:37,095] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,100] INFO [Broker id=0] Leader quickstart-events-0 with topic id Some(OF7kWR3_Tfe_1OzwsxJ9aA) starts at leader epoch 0 from offset 10 with partition epoch 0, high watermark 10, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,100] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,103] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,105] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,109] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,113] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,116] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,118] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,120] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,123] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
